period,"Core CPI,seas.adj,,, – United States (WB/GEM/CORESA-USA)"
1987,53.56179719262
1988,55.94131430928
1989,58.45302682131
1990,61.39531862112
1991,64.41315064685
1992,66.77000569573
1993,68.98333431536
1994,70.93227214424
1995,73.07383754923
1996,75.0378834233
1997,76.82818677774
1998,78.58449703051
1999,80.21238889921
2000,82.16888075069
2001,84.35954730253
2002,86.31603915401
2003,87.57756092697
2004,89.12613555845
2005,91.04108028566
2006,93.32994913121
2007,95.50932241928
2008,97.70301058016
2009,99.36712398719
2010,100.31855313273
2011,101.9822132984
2012,104.13529858785
2013,105.9725501927
2014,107.82717604952
2015,109.80111769318
2016,112.21579878501
2017,114.28643191786
2018,116.73824103073
2019,119.29724172419
2020,120.67158282457
